Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0805,3,10u,C440198
"C10, C11, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C5, C8, C9",0402,16,0u1,C307331
"C12, C13",0402,2,1u,C52923
C14,0402,1,10n,C15195
"C15, C16",1206,2,47u,C96123
"C6, C7",0603,2,20p,C1648
D1,0805,1,GREEN,C2297
"D10, D3, D4, D5, D6, D7, D8, D9",Diode_DFN1006,8,H5VU10U,C22395519
D11,0805,1,YELLOW,C2296
"D12, D13, D14, D15, D16, D17, D18, D19, D20, D21",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10,WS2812B,C2874885
D2,0603,1,WHITE,C2290
FB1,0805,1,600Ω@100M,C81034
J3,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04,C157926
"R1, R2, R6",0402,3,5k1,C25905
"R10, R11, R22, R23, R24, R25, R26, R7, R8, R9",0603,10,2k,C4190
"R12, R13, R14, R15, R16, R17, R18, R19, R20, R21",1206,10,100,C17901
R3,1206,1,120,C17909
R4,0402,1,10k,C25744
R5,0603,1,560,C23204
"SW1, SW2, SW3, SW4",SW_SPST_TS-1088-xR020,4,SW_Push,C720477
U1,SOT-89-3,1,HT753-1,C14289
"U10, U11, U12, U13, U4, U5, U6, U7, U8, U9",OnSemi_CASE100CY,10,QRE1113GR,C232862
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
